Nom du projet;Nom du produit;X;Y;Position
;Noisettes;9;7;97
;Abricots;19;14;1914
;Ananas;20;14;2014
;Bananes;21;14;2114
;Brugnon;22;14;2214
;Cassis;23;14;2314
;Cerises;20;15;2015
;Citrons;21;15;2115
;Clémentine;22;15;2215
;Figue;23;15;2315
;Fraises;26;15;2615
;Framboise;26;14;2614
;Fruit de la passion;27;14;2714
;Grenade;27;15;2715
;Groseille;28;14;2814
;Kaki;28;15;2815
;Kiwis;29;14;2914
;Litchi;29;15;2915
;Mandarines;30;14;3014
;Mangue;30;15;3015
;Melons;19;17;1917
;Mirabelle;20;17;2017
;Mûre;21;17;2117
;Myrtille;22;17;2217
;Nectarine;23;17;2317
;Oranges;24;17;2417
;Pamplemousses;25;17;2517
;Pastèque;26;17;2617
;Pêches;27;17;2717
;Poires;28;17;2817
;Pommes;29;17;2917
;Prunes;30;17;3017
;Raisin;19;11;1911
;Rhubarbe;20;11;2011
;Croque monsieur;19;4;194
;Crudités;20;4;204
;Feuilles de brick;21;4;214
;Galettes;22;4;224
;Pâtes à tarte;23;4;234
;Pâtes fraîches;24;4;244
;Piémontaise;25;4;254
;Pizzas;26;4;264
;Pizzas;27;4;274
;Quenelles;28;4;284
;Quiches;29;4;294
;Ravioles;20;4;204
;Taboulé;23;4;234
;Beurre;19;1;191
;Boisson lactée;20;1;201
;Crème dessert;21;1;211
;Feta;22;1;221
;Fromage blanc;23;1;231
;Margarine;26;1;261
;Mascarpone;27;1;271
;Mozzarella;29;1;291
;Petit suisse;19;4;194
;Petits pots bébé;21;4;214
;Yaourts;22;4;224
;Yaourts;23;4;234
;Fromages;22;5;225
;Œufs;20;7;207
;Lait;21;7;217
;Anchois;5;41;541
;Bolognaise;5;42;542
;Compote;5;43;543
;Flageolets;5;44;544
;Fruits au sirop;3;2;32
;Gaspacho;5;45;545
;Haricots vert;30;17;3017
;Maïs;29;17;2917
;Pâté;5;46;546
;Petits pois;26;17;2617
;Sardine;33;3;333
;Soupes;5;47;547
;Sauce tomate;23;17;2317
;Thon;32;2;322
;Biscuits salés;7;41;741
;Blinis mini;7;42;742
;Bretzel;7;43;743
;Cacahuètes;7;44;744
;Chips;7;45;745
;Fruits secs;7;46;746
;Guacamole;7;47;747
;Mini-feuilletés;10;41;1041
;Œufs de poisson;10;42;1042
;Olives;10;43;1043
;Pistaches;10;44;1044
;Tarama;10;45;1045
;Tuiles salées;10;46;1046
;Tzatziki;10;47;1047
;Après rasage;28;41;2841
;Brosse à dents;28;42;2842
;Cire épilation;28;43;2843
;Coton à démaquiller;28;44;2844
;Couches bébé;20;28;2028
;Crème main;21;28;2128
;Démaquillant;28;45;2845
;Dentifrice;28;46;2846
;Déodorant;28;47;2847
;Fil dentaire;26;41;2641
;Gel douche;26;42;2642
;Gel spray;26;43;2643
;Gel tube;26;44;2644
;Mousse à raser;26;45;2645
;Ouate;26;46;2646
;Pansements;26;47;2647
;Papier toilette;30;47;3047
;Produit lentilles;30;46;3046
;Protection intime;30;45;3045
;Rasoirs;30;44;3044
;Savon main;30;43;3043
;Shampooing;30;42;3042
;Alcools fort;7;5;75
;Bière;7;1;71
;Eau minérale;9;4;94
;Jus de fruits;3;4;34
;Sirop;15;4;154
;Soda;13;4;134
;Vin;16;5;165
;Allume barbecue;12;41;1241
;Allumettes;12;42;1242
;Anticalcaire;12;43;1243
;Assouplissant;12;44;1244
;Bougies;12;45;1245
;Cirage;12;46;1246
;Cure dents;12;47;1247
;Désodorisant;14;41;1441
;Détachant;14;42;1442
;Eau de javel;14;43;1443
;Éponges;14;44;1444
;Essuie lunette;14;45;1445
;Film plastique;14;46;1446
;Filtre à café;14;47;1447
;Gants de ménage;19;41;1941
;Insecticide;19;42;1942
;Lessive;29;50;2950
;Mouchoirs;19;43;1943
;Nettoyant Four;30;41;3041
;Nettoyant SDB;26;47;2647
;Nettoyant WC;26;46;2646
;Papier alu;19;44;1944
;Papier sulfurisé;19;45;1945
;Piles;19;46;1946
;Produit sol;19;47;1947
;Produit vaisselle;21;41;2141
;Produit vitre;21;42;2142
;Produits dégraissant;21;43;2143
;Sachets glaçon;21;44;2144
;Sacs aspirateur;21;45;2145
;Sacs congélation;21;46;2146
;Sacs poubelles;21;47;2147
;Savon;23;41;2341
;Sel machine;23;42;2342
;Serviettes papier;23;43;2343
;Bloc note;23;44;2344
;Calculatrice;23;45;2345
;Chemises carton;23;46;2346
;Colle;23;47;2347
;Ciseau à papier;23;47;2347
;Crayons à papier;23;46;2346
;Crayons de couleur;23;45;2345
;Encre Imprimante;23;44;2344
;Enveloppes;23;43;2343
;Étiquettes;23;42;2342
;Ficelle;23;41;2341
;Ficelle;21;47;2147
;Gomme;23;46;2346
;Papier à lettre;21;45;2145
;Papier cadeau;21;44;2144
;Papier imprimante;21;43;2143
;Scotch;21;42;2142
;Souris de correction;21;41;2141
;Stylo bille;19;47;1947
